gain,sin,quad,fft,overshoot,R2
2,7.76,8.8,7.42,19.8,2.2
4.73,10.4,9.3,10.4,4.45,8.2
5.55,10.92,10.52,11,6.62,10
9.91,9.3,10.2,9.4,0.83,17.8
